com.samsung.shealth.rewards,6311013,5
number_of_streak,start_time,exercise_type,device_type,exercise_session_id,update_time,create_time,source_pkg_name,program_id,title,time_offset,extra_data,deviceuuid,pkg_name,controller_id,end_time,datauuid,is_visible
,2020-09-18 14:09:54.967,,,,2020-09-19 09:35:36.643,2020-09-18 14:09:55.205,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":280,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-09-18 14:09:54.967,34cd4f3e-26aa-4e42-b462-86c164cbed13,0,
,2020-09-03 13:15:16.840,,,,2020-09-04 11:52:22.546,2020-09-03 13:15:17.000,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":286,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-09-03 13:15:16.840,f1d8bc7c-301c-4998-914f-f036974dfb45,0,
,2020-09-21 14:35:10.803,,,,2020-09-22 14:33:11.915,2020-09-21 14:35:10.930,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":89,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-09-21 14:35:10.803,34efed6b-2bfe-4b10-88e5-0d550bb91570,0,
,2020-09-09 12:56:41.397,,,,2020-09-10 12:36:00.979,2020-09-09 12:56:41.611,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":139,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-09-09 12:56:41.397,79cf4a93-f30f-42f5-a270-699866e216e4,0,
,2020-08-29 15:14:06.735,,,,2020-08-30 11:23:13.050,2020-08-29 15:14:06.905,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":164,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-29 15:14:06.735,2f4f9c5b-d320-4993-a723-299b595d3d03,0,
,2020-08-26 08:15:16.638,,,,2020-08-27 11:22:36.747,2020-08-26 08:15:16.654,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":true,""mValue"":266,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-26 08:15:16.638,b77c7275-8b73-41a2-9aa2-ce18581fc3c3,0,
,2020-08-26 21:59:59.999,,,,2020-09-02 17:35:17.467,2020-08-26 15:57:23.744,,,goal_activity_reward_most_active_day,UTC+0200,"{""mIsCompleted"":true,""mValue"":266,""mValue2"":0}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-26 21:59:59.999,83ae4745-4702-47b3-9db1-6239b0440ead,0,
,2020-09-06 12:12:01.200,,,,2020-09-06 21:55:06.970,2020-09-06 12:12:01.340,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":208,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-09-06 12:12:01.200,24c6498e-f7c8-4661-b388-6e1ab3cc4490,0,
,2020-09-05 11:35:10.377,,,,2020-09-06 12:12:01.320,2020-09-05 11:35:10.717,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":121,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-09-05 11:35:10.377,5ad82519-8098-415c-8c33-e720161359be,0,
,2020-08-28 14:15:18.062,,,,2020-08-29 15:14:06.903,2020-08-28 14:15:18.129,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":246,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-28 14:15:18.062,8454fe12-4293-45da-94bc-cd76b75cfd93,0,
,2020-08-31 15:12:07.019,,,,2020-09-01 13:12:07.978,2020-08-31 15:12:07.103,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":153,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-08-31 15:12:07.019,9f778abe-341d-4167-aa15-e1997df40b9a,0,
,2020-09-20 15:13:11.810,,,,2020-09-21 14:35:10.921,2020-09-20 15:13:11.989,,,goal_activity_reward_goal_achieved,UTC+0200,"{""mIsCompleted"":false,""mValue"":169,""mValue2"":60}",m3h9nVfJDO,com.sec.android.app.shealth,goal.activity,2020-09-20 15:13:11.810,3d500da8-18e5-4703-95dc-97c37af138da,0,
